amfi_code,scheme_name,cagr_pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,
100025,HDFC Short Term Debt Fund - Regular - Growth,
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,
101206,ABSL Frontline Equity Fund - Regular - Growth,
101207,ABSL Small Cap Fund - Regular - Growth,
101208,ABSL Liquid Fund - Regular - Growth,
102885,UTI Nifty 50 Index Fund - Regular - Growth,
102886,UTI Mid Cap Fund - Regular - Growth,
102887,UTI Flexi Cap Fund - Regular - Growth,
118632,Nippon India Large Cap Fund - Regular - Growth,
118633,Nippon India Large Cap Fund - Direct - Growth,
118634,Nippon India Small Cap Fund - Regular - Growth,
118635,Nippon India ETF Nifty 50 BeES,
118636,Nippon India Gilt Securities Fund - Regular - Growth,
119092,Axis Bluechip Fund - Regular - Growth,
119093,Axis Bluechip Fund - Direct - Growth,
119094,Axis Midcap Fund - Regular - Growth,
119095,Axis Small Cap Fund - Regular - Growth,
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,
119551,SBI Bluechip Fund - Regular Plan - Growth,
119552,SBI Bluechip Fund - Direct Plan - Growth,
119598,SBI Small Cap Fund - Regular Plan - Growth,
119599,SBI Small Cap Fund - Direct Plan - Growth,
120503,ICICI Pru Bluechip Fund - Regular - Growth,
120504,ICICI Pru Bluechip Fund - Direct - Growth,
120505,ICICI Pru Midcap Fund - Regular - Growth,
120506,ICICI Pru Value Discovery Fund - Regular - Growth,
120507,ICICI Pru Liquid Fund - Regular - Growth,
120841,Kotak Bluechip Fund - Regular - Growth,
120842,Kotak Emerging Equity Fund - Regular - Growth,
120843,Kotak Flexicap Fund - Regular - Growth,
120844,Kotak Liquid Fund - Regular - Growth,
125497,HDFC Top 100 Fund - Direct Plan - Growth,
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,
148567,Mirae Asset Large Cap Fund - Regular - Growth,
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
148569,Mirae Asset Tax Saver Fund - Regular - Growth,
149322,DSP Top 100 Equity Fund - Regular - Growth,
149323,DSP Midcap Fund - Regular - Growth,
149324,DSP Small Cap Fund - Regular - Growth,
