amfi_code,scheme_name,max_drawdown_pct
149324,DSP Small Cap Fund - Regular - Growth,-77.23
120843,Kotak Flexicap Fund - Regular - Growth,-75.06
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-74.21
119598,SBI Small Cap Fund - Regular Plan - Growth,-71.11
149323,DSP Midcap Fund - Regular - Growth,-71.08
120505,ICICI Pru Midcap Fund - Regular - Growth,-71.04
119094,Axis Midcap Fund - Regular - Growth,-70.21
148567,Mirae Asset Large Cap Fund - Regular - Growth,-69.73
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-68.52
119551,SBI Bluechip Fund - Regular Plan - Growth,-66.51
102887,UTI Flexi Cap Fund - Regular - Growth,-63.87
101206,ABSL Frontline Equity Fund - Regular - Growth,-63.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,-62.87
118632,Nippon India Large Cap Fund - Regular - Growth,-62.28
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-61.13
119552,SBI Bluechip Fund - Direct Plan - Growth,-58.43
118634,Nippon India Small Cap Fund - Regular - Growth,-58.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,-57.75
102885,UTI Nifty 50 Index Fund - Regular - Growth,-55.52
118635,Nippon India ETF Nifty 50 BeES,-54.4
149322,DSP Top 100 Equity Fund - Regular - Growth,-53.59
119599,SBI Small Cap Fund - Direct Plan - Growth,-52.57
119095,Axis Small Cap Fund - Regular - Growth,-52.45
101207,ABSL Small Cap Fund - Regular - Growth,-52.16
120503,ICICI Pru Bluechip Fund - Regular - Growth,-50.77
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-50.76
118633,Nippon India Large Cap Fund - Direct - Growth,-49.69
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-48.0
120841,Kotak Bluechip Fund - Regular - Growth,-46.16
119093,Axis Bluechip Fund - Direct - Growth,-44.92
100016,HDFC Top 100 Fund - Regular Plan - Growth,-38.44
119092,Axis Bluechip Fund - Regular - Growth,-37.9
102886,UTI Mid Cap Fund - Regular - Growth,-32.79
120842,Kotak Emerging Equity Fund - Regular - Growth,-29.19
120507,ICICI Pru Liquid Fund - Regular - Growth,-25.9
120844,Kotak Liquid Fund - Regular - Growth,-24.92
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-24.09
101208,ABSL Liquid Fund - Regular - Growth,-23.85
100025,HDFC Short Term Debt Fund - Regular - Growth,-19.87
118636,Nippon India Gilt Securities Fund - Regular - Growth,-19.26
