amfi_code,scheme_name,sharpe_ratio
149324,DSP Small Cap Fund - Regular - Growth,0.963
119598,SBI Small Cap Fund - Regular Plan - Growth,0.855
120843,Kotak Flexicap Fund - Regular - Growth,0.846
120505,ICICI Pru Midcap Fund - Regular - Growth,0.841
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.82
149323,DSP Midcap Fund - Regular - Growth,0.804
119094,Axis Midcap Fund - Regular - Growth,0.802
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.767
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.765
119551,SBI Bluechip Fund - Regular Plan - Growth,0.72
118632,Nippon India Large Cap Fund - Regular - Growth,0.659
118634,Nippon India Small Cap Fund - Regular - Growth,0.656
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.656
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.643
101206,ABSL Frontline Equity Fund - Regular - Growth,0.63
102887,UTI Flexi Cap Fund - Regular - Growth,0.611
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.591
119552,SBI Bluechip Fund - Direct Plan - Growth,0.576
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.57
119599,SBI Small Cap Fund - Direct Plan - Growth,0.537
118635,Nippon India ETF Nifty 50 BeES,0.527
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.516
119095,Axis Small Cap Fund - Regular - Growth,0.512
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.506
101207,ABSL Small Cap Fund - Regular - Growth,0.506
118633,Nippon India Large Cap Fund - Direct - Growth,0.504
149322,DSP Top 100 Equity Fund - Regular - Growth,0.5
120841,Kotak Bluechip Fund - Regular - Growth,0.497
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.454
119093,Axis Bluechip Fund - Direct - Growth,0.381
102886,UTI Mid Cap Fund - Regular - Growth,0.314
120842,Kotak Emerging Equity Fund - Regular - Growth,0.309
119092,Axis Bluechip Fund - Regular - Growth,0.256
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.255
120507,ICICI Pru Liquid Fund - Regular - Growth,0.13
120844,Kotak Liquid Fund - Regular - Growth,0.113
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.09
101208,ABSL Liquid Fund - Regular - Growth,0.086
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.086
100025,HDFC Short Term Debt Fund - Regular - Growth,0.023
