amfi_code,scheme_name,var_95_pct
119598,SBI Small Cap Fund - Regular Plan - Growth,-12.585
119095,Axis Small Cap Fund - Regular - Growth,-10.189
119599,SBI Small Cap Fund - Direct Plan - Growth,-9.805
149324,DSP Small Cap Fund - Regular - Growth,-9.403
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-9.139
118634,Nippon India Small Cap Fund - Regular - Growth,-9.087
101207,ABSL Small Cap Fund - Regular - Growth,-8.954
120843,Kotak Flexicap Fund - Regular - Growth,-7.683
101206,ABSL Frontline Equity Fund - Regular - Growth,-7.469
120505,ICICI Pru Midcap Fund - Regular - Growth,-7.414
120842,Kotak Emerging Equity Fund - Regular - Growth,-7.235
119094,Axis Midcap Fund - Regular - Growth,-6.991
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-6.987
102886,UTI Mid Cap Fund - Regular - Growth,-6.913
100016,HDFC Top 100 Fund - Regular Plan - Growth,-6.421
149323,DSP Midcap Fund - Regular - Growth,-6.388
118632,Nippon India Large Cap Fund - Regular - Growth,-6.206
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-6.205
102887,UTI Flexi Cap Fund - Regular - Growth,-5.998
118633,Nippon India Large Cap Fund - Direct - Growth,-5.985
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-5.895
119552,SBI Bluechip Fund - Direct Plan - Growth,-5.783
120504,ICICI Pru Bluechip Fund - Direct - Growth,-5.732
125497,HDFC Top 100 Fund - Direct Plan - Growth,-5.709
119551,SBI Bluechip Fund - Regular Plan - Growth,-5.641
149322,DSP Top 100 Equity Fund - Regular - Growth,-5.471
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-5.442
119093,Axis Bluechip Fund - Direct - Growth,-5.392
120503,ICICI Pru Bluechip Fund - Regular - Growth,-5.086
120841,Kotak Bluechip Fund - Regular - Growth,-5.015
119092,Axis Bluechip Fund - Regular - Growth,-4.869
148567,Mirae Asset Large Cap Fund - Regular - Growth,-4.16
102885,UTI Nifty 50 Index Fund - Regular - Growth,-3.992
118635,Nippon India ETF Nifty 50 BeES,-3.633
100025,HDFC Short Term Debt Fund - Regular - Growth,-2.071
118636,Nippon India Gilt Securities Fund - Regular - Growth,-1.806
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-1.494
120844,Kotak Liquid Fund - Regular - Growth,-0.068
101208,ABSL Liquid Fund - Regular - Growth,-0.067
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.061
