amfi_code,scheme_name,annual_volatility_pct
101208,ABSL Liquid Fund - Regular - Growth,21.0
120844,Kotak Liquid Fund - Regular - Growth,22.57
100025,HDFC Short Term Debt Fund - Regular - Growth,22.81
120507,ICICI Pru Liquid Fund - Regular - Growth,23.59
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,24.99
118636,Nippon India Gilt Securities Fund - Regular - Growth,28.79
119092,Axis Bluechip Fund - Regular - Growth,54.15
100016,HDFC Top 100 Fund - Regular Plan - Growth,61.74
102885,UTI Nifty 50 Index Fund - Regular - Growth,65.04
120842,Kotak Emerging Equity Fund - Regular - Growth,65.85
118635,Nippon India ETF Nifty 50 BeES,67.63
119093,Axis Bluechip Fund - Direct - Growth,69.22
118633,Nippon India Large Cap Fund - Direct - Growth,70.78
149322,DSP Top 100 Equity Fund - Regular - Growth,71.16
120841,Kotak Bluechip Fund - Regular - Growth,74.29
120506,ICICI Pru Value Discovery Fund - Regular - Growth,74.92
119552,SBI Bluechip Fund - Direct Plan - Growth,75.43
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,75.94
102886,UTI Mid Cap Fund - Regular - Growth,80.75
120503,ICICI Pru Bluechip Fund - Regular - Growth,81.39
101206,ABSL Frontline Equity Fund - Regular - Growth,83.2
125497,HDFC Top 100 Fund - Direct Plan - Growth,84.42
120504,ICICI Pru Bluechip Fund - Direct - Growth,87.28
102887,UTI Flexi Cap Fund - Regular - Growth,87.35
118632,Nippon India Large Cap Fund - Regular - Growth,87.98
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,89.75
119551,SBI Bluechip Fund - Regular Plan - Growth,90.76
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,95.1
101207,ABSL Small Cap Fund - Regular - Growth,98.13
148569,Mirae Asset Tax Saver Fund - Regular - Growth,99.29
118634,Nippon India Small Cap Fund - Regular - Growth,103.33
148567,Mirae Asset Large Cap Fund - Regular - Growth,105.67
119095,Axis Small Cap Fund - Regular - Growth,107.6
119094,Axis Midcap Fund - Regular - Growth,109.61
149323,DSP Midcap Fund - Regular - Growth,109.86
120843,Kotak Flexicap Fund - Regular - Growth,113.43
120505,ICICI Pru Midcap Fund - Regular - Growth,114.9
119599,SBI Small Cap Fund - Direct Plan - Growth,116.32
119598,SBI Small Cap Fund - Regular Plan - Growth,130.43
149324,DSP Small Cap Fund - Regular - Growth,135.02
